,grains,beef,cotton,chickens,sugar,pork,other_ag,services,mfg,LAB,CAP,LND,PTAX,MTAX,DTAX,HOH,GOV,INV,EXT
grains,0.0,0.031802884615384615,0.0,0.17394230769230773,0.0,0.07846153846153847,0.09461538461538463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1031284153846154,0.036831576923076925,0.044197892307692305,1.155
beef,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26391792000000003,0.0942564,0.11310767999999999,1.0290000000000001
cotton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020260800000000006,0.007236,0.0086832,0.27
chickens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16306080000000003,0.058236,0.0698832,0.015000000000000001
sugar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017055920000000002,0.0060914,0.007309680000000001,0.1615
pork,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10832640000000002,0.03868800000000001,0.046425600000000004,0.016
other_ag,0.0,0.18021634615384616,0.0,0.019326923076923075,0.0,0.013846153846153848,0.3784615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1678514615384616,0.4170898076923077,0.5005077692307692,1.8450000000000002
services,0.20625000000000002,0.21201923076923077,0.06057692307692308,0.023076923076923078,0.03653846153846154,0.018461538461538467,0.7884615384615385,58.461538461538474,22.14423076923077,0.0,0.0,0.0,0.0,0.0,0.0,63.95471384615385,22.840969230769232,27.40916307692308,9.5
mfg,0.7139423076923077,0.14134615384615387,0.0951923076923077,0.03461538461538462,0.07307692307692308,0.02153846153846154,0.7096153846153846,5.480769230769231,2.7115384615384617,0.0,0.0,0.0,0.0,0.0,0.0,24.95464461538462,8.912373076923078,10.694847692307693,9.4
LAB,0.1999038461538461,0.23746153846153853,0.03980769230769231,0.016875000000000005,0.025576923076923077,0.009692307692307695,0.7884615384615385,77.1875,11.185096153846153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAP,0.26653846153846156,0.27138461538461545,0.053076923076923084,0.018750000000000003,0.025576923076923077,0.01076923076923077,0.6899038461538461,41.5625,9.151442307692307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LND,0.1999038461538461,0.33923076923076934,0.03980769230769231,0.0018750000000000004,0.021923076923076927,0.0010769230769230773,0.49278846153846156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PTAX,0.06346153846153847,0.05653846153846154,0.011538461538461539,0.011538461538461539,0.0073076923076923084,0.006153846153846154,0.1576923076923077,7.307692307692308,1.807692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MTAX,0.00198,0.0008820000000000001,0.00017999999999999998,0.00017999999999999998,5.6999999999999996e-05,0.0014399999999999999,0.0123,0.456,0.49350000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DTAX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.710646153846156,0.0,0.0,0.0
HOH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.690375,52.04994230769231,1.0966057692307691,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.429615384615387,0.9665190000000001,25.710646153846156,0.0,0.0,0.0,0.0
INV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.373316744615384,3.6950090461538467,0.0,8.825800000000001
EXT,0.066,0.029400000000000003,0.006,0.006,0.0019,0.048,0.41000000000000003,15.200000000000001,16.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
