,AGR,MFG,SRV,LAB,CAP,LND,PTAX,MTAX,DTAX,HOH,GOV,INV,EXT
AGR,8.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.200000000000003,2.0,4.0,55.0
MFG,22.0,30.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,49.80000000000001,10.0,38.0,40.0
SRV,10.0,15.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,48.5,35.0,18.0,8.0
LAB,20.0,45.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAP,14.0,35.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LND,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PTAX,3.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MTAX,1.2,4.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DTAX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.8,0.0,0.0,0.0
HOH,0.0,0.0,0.0,135.0,89.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOV,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.5,28.8,0.0,0.0,0.0,0.0
INV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.7,2.299999999999997,0.0,-44.0
EXT,6.0,48.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
